id,Label
2002-ajA,2002-ajA
2003-NYT,2003-NYT
2004-Ind,2004-Ind
2004-Maj,2004-Maj
2004-Tor,2004-Tor
2005-Ind,2005-Ind
2005-Tor,2005-Tor
2006-ajA,2006-ajA
2006-Maj,2006-Maj
2006-Tim,2006-Tim
2007-Dai,2007-Dai
2007-Maj,2007-Maj
2007-NYT,2007-NYT
2007-Tor,2007-Tor
2008-Ind,2008-Ind
2008-Maj,2008-Maj
2009-NYT,2009-NYT
2009-Tim,2009-Tim
2010-Maj,2010-Maj
2010-Tim,2010-Tim
2010-Tor,2010-Tor
2011-ajA,2011-ajA
2011-Gua,2011-Gua
2011-Maj,2011-Maj
2012-Bus,2012-Bus
2012-Gua,2012-Gua
2012-Maj,2012-Maj
2012-Tim,2012-Tim
2013-Gua,2013-Gua
2013-Maj,2013-Maj
2013-NYT,2013-NYT
2014-ail,2014-ail
2014-ajA,2014-ajA
2014-CDa,2014-CDa
2014-Dai,2014-Dai
2014-Gua,2014-Gua
2014-Ind,2014-Ind
2014-Maj,2014-Maj
2015-ajA,2015-ajA
2015-Dai,2015-Dai
2015-Gua,2015-Gua
2015-Ind,2015-Ind
2015-Maj,2015-Maj
2015-Tim,2015-Tim
2016-ail,2016-ail
2016-ajA,2016-ajA
2016-Maj,2016-Maj
2016-NYT,2016-NYT
2016-Tim,2016-Tim
2017-CDa,2017-CDa
2017-Ind,2017-Ind
2017-Tim,2017-Tim
2018-ail,2018-ail
2018-ajA,2018-ajA
2018-Maj,2018-Maj
2019-ajA,2019-ajA
2019-CDa,2019-CDa
2019-Maj,2019-Maj
2019-Tor,2019-Tor
2020-ajA,2020-ajA
2020-Bus,2020-Bus
2020-Maj,2020-Maj
2021-Ind,2021-Ind
